latitude,longitude
23.1309463,120.3336151
23.1309463,120.3336151
23.1440763,120.3271056
23.1440763,120.3271056
23.175508,120.2553219
23.175508,120.2553219
23.175508,120.2553219
23.1189224,120.2942559
23.1402613,120.3089541
23.081926,120.295402
23.1151332,120.2547303
23.1410127,120.4000032
23.1410127,120.4000032
23.119471,120.235621
23.1228326,120.232521
23.1135653,120.2382911
23.090792,120.2334385
23.0858544,120.2340568
23.1730665,120.1577525
23.109038,120.218303
23.064614,120.292173
23.1580647,120.2804377
23.1637973,120.3118375
23.1325115,120.2894348
23.1288058,120.2860341
23.1326975,120.3007045
23.1319885,120.297958
23.13717,120.310508
23.0726525,120.2916057
23.077176,120.2279338
23.105891,120.232115
23.1081147,120.2195374
23.1052556,120.2267506
23.119471,120.235621
23.1135653,120.2382911
22.9592934,120.1769345
23.1730665,120.1577525
23.0814824,120.2335293
23.0914496,120.2293473
23.081134,120.221997
23.0998017,120.2079953
23.560288,120.3009504
23.0849044,120.2022239
23.0594528,120.2934194
23.0849044,120.2022239
23.060416,120.2950722
23.1508594,120.2714642
23.1199177,120.2882697
23.129886,120.2853032
23.1334045,120.2775777
23.1359743,120.2656955
23.1229464,120.3147208
23.1281298,120.2940247
23.0767206,120.2917574
23.1009081,120.208069
23.0746852,120.2966945
23.0744158,120.2944447
23.0903938,120.3291365
23.175508,120.2553219
23.0561477,120.2677184
23.0751809,120.2764506
23.0727781,120.2599266
22.6037175,120.337238
23.1073295,120.3020618
23.1086642,120.308609
23.560288,120.3009504
23.0721901,120.2982263
23.1209313,120.2492634
23.1189183,120.3183683
23.0939111,120.2296358
23.183835,120.291885
23.0644921,120.2810473
23.0644921,120.2810473
23.0280708,120.3223605
22.9528669,120.2738173
23.0381044,120.3608455
23.0271187,120.3360309
23.0227107,120.287534
23.0506082,120.2887685
23.0471423,120.2988617
23.0471423,120.2988617
22.964168,120.332321
23.0280873,120.3320195
23.0280873,120.3320195
23.0280873,120.3320195
23.030097,120.384516
23.034954,120.3087717
23.0893067,120.3723741
23.0601765,120.4213592
22.986409,120.38487
23.0958254,120.3478746
23.101985,120.356397
23.0194325,120.3349024
23.0109282,120.3752561
23.0109282,120.3752561
23.0264147,120.3227349
23.0250196,120.3486951
23.0280873,120.3320195
23.0425691,120.3175526
23.0361605,120.309131
23.0381044,120.3608455
23.0280873,120.3320195
23.0109282,120.3752561
23.0240151,120.3140287
23.0423686,120.3052161
23.0364078,120.3029449
23.0394252,120.3068051
23.032141,120.3081882
23.0347245,120.3032861
23.0777251,120.3637277
23.0366168,120.3001657
23.1015623,120.3556785
22.9734249,120.2444441
22.9899408,120.2665806
22.993721,120.2637084
22.9921086,120.270542
22.9757903,120.2451653
22.971298,120.2514419
22.9733001,120.2451315
22.9472553,120.2511778
22.9461358,120.4083891
22.9483272,120.3921934
23.0384636,120.2341036
22.9704702,120.2811034
22.9606836,120.2874007
22.956444,120.2828266
22.9648542,120.2852382
22.9321981,120.3031871
22.9705889,120.2562759
22.950001,120.2639979
22.9704302,120.2545551
22.9534423,120.2209801
22.9648542,120.2852382
22.983161,120.293058
22.9519169,120.2502999
22.9512114,120.2516184
22.9880223,120.2926918
22.9658238,120.2995826
22.9474005,120.3323818
23.001756,120.205574
22.9713488,120.254345
22.9472553,120.2511778
22.9037778,120.3513196
22.9919899,120.2045956
22.9496933,120.2711456
22.9637053,120.3320195
22.9540045,120.378138
22.991594,120.2555846
22.968481,120.2796637
22.9258554,120.2762849
