停車場型態,停車場代碼,停車場名稱,停車場地址,停車場電話,即時車位,一般大型車,一般小型車,身障者小型車,婦幼者小型車,綠能小型車,一般機車,身障者機車,收費時間,收費費率,經緯度,備註欄,latitude,longitude
路邊停車格收費路段,D00087,小西門(路邊停車格),  小西門圓環   ,,-1,0,18,0,0,0,0,0,,20元/時 ☆剩餘格位:3,22.990857，120.197912,,22.990857,120.197912
路邊停車格收費路段,D00088,長榮路-1(路邊停車格),  林森路口-東門路口兩側   ,,-1,0,55,0,0,0,0,0,,20元/時 ☆剩餘格位:0,22.983320，120.217430,,22.98332,120.21743
路邊停車格收費路段,D00089,小東路-5(路邊停車格),  小東路147巷(小東路口-東豐路口兩側)   ,,-1,0,14,0,0,0,0,0,,20元/時 ☆剩餘格位:8,23.000914，120.226805,,23.000914,120.226805
路邊停車格收費路段,D00090,慶中街(路邊停車格),  健康路口-樹林街口兩側   ,,-1,0,35,0,0,0,0,0,,20元/時 ☆剩餘格位:1,22.982969，120.205473,,22.982969,120.205473
路邊停車格收費路段,D00091,海安路-5(路邊停車格),  民族路口-臨安路口兩側   ,,-1,0,68,5,0,0,0,0,,20元/時 ☆剩餘格位:10,22.996828，120.197078,,22.996828,120.197078
路邊停車格收費路段,D00092,勞工中心(路邊停車格),  南門路口-體育場   ,,-1,0,15,2,0,0,0,0,,20元/時 ☆剩餘格位:17,22.979993，120.203658,,22.979993,120.203658
路邊停車格收費路段,D00093,府連東路(路邊停車格),  長榮路口-林森路口兩側   ,,-1,0,36,2,0,0,0,0,,20元/時 ☆剩餘格位:1,22.983797，120.219533,,22.983797,120.219533
路邊停車格收費路段,D00094,崇德路-1(路邊停車格),  林森路口-崇德17街口兩側   ,,-1,0,59,0,0,0,0,0,,20元/時 ☆剩餘格位:24,22.979370，120.219809,,22.97937,120.219809
路邊停車格收費路段,D00095,新興東路(路邊停車格),  西門路口-水交社路口兩側   ,,-1,0,60,3,0,0,0,0,,20元/時 ☆剩餘格位:48,22.979640，120.199617,,22.97964,120.199617
路邊停車格收費路段,D00096,新興東路-2,  南門路治水交社路   ,,-1,0,74,0,0,0,0,0,,20元/時 ☆剩餘格位:73,22.979735，120.202210,,22.979735,120.20221
路邊停車格收費路段,D00097,水交社路-2(路邊停車格),  新興東路至大成路間   ,,-1,0,58,0,0,0,0,0,,20元/時 ☆剩餘格位:48,22.975138，120.200582,,22.975138,120.200582
路邊停車格收費路段,D00098,水交社一街(路邊停車格),  自南門路至水交社路間   ,,-1,0,22,2,0,0,0,0,,20元/時 ☆剩餘格位:24,22.978273，120.202399,,22.978273,120.202399
路邊停車格收費路段,D00099,大林路(路邊停車格),  大同路口-國民路口北側   ,,-1,0,16,0,0,0,0,0,,20元/時 ☆剩餘格位:5,22.975288，120.210587,,22.975288,120.210587
路邊停車格收費路段,D00100,國平西路(路邊停車格),  健康路至國平南路間   ,,-1,0,35,2,0,0,0,0,,20元/時 ☆剩餘格位:35,22.983948，120.170019,,22.983948,120.170019
路邊停車格收費路段,D00101,臨安路(路邊停車格),  民生路口-民德路口兩側   ,,-1,0,38,1,0,0,0,0,,20元/時 ☆剩餘格位:10,23.003476，120.198664,,23.003476,120.198664
路邊停車格收費路段,D00102,民德路(路邊停車格),  西門路口-海安路口   ,,-1,0,25,0,0,0,0,0,,20元/時 ☆剩餘格位:4,23.006577，120.201098,,23.006577,120.201098
路邊停車格收費路段,D00103,新建路-2,  新建路3巷至新興路間兩側42席，1100301開始收費   ,,-1,0,42,0,0,0,30,3,,20元/時 ☆剩餘格位:13,22.975562，120.185511,,22.975562,120.185511
路邊停車格收費路段,D00104,中山南路,  永康中山路至中華路間   ,,-1,0,134,3,0,0,97,0,,20元/時 ☆剩餘格位:12,23.016254，120.236911,,23.016254,120.236911
路邊停車格收費路段,D00105,崇仁街(路邊停車格),  林森路口-德光街口兩側   ,,-1,0,30,0,0,0,0,0,,20元/時 ☆剩餘格位:20,22.983947，120.223444,,22.983947,120.223444
路邊停車格收費路段,D00106,德光街(路邊停車格),  崇仁街口-崇善路口單側   ,,-1,0,13,0,0,0,0,0,,20元/時 ☆剩餘格位:2,22.982188，120.223707,,22.982188,120.223707
路邊停車格收費路段,D00107,開南街(路邊停車格),  開元路口-林森路口兩側   ,,-1,0,29,2,0,0,0,0,,20元/時 ☆剩餘格位:9,23.008872，120.222854,,23.008872,120.222854
路邊停車格收費路段,D00108,東橋八街(路邊停車格),  東橋一路口至康橋大道口兩側   ,,-1,0,104,1,0,0,16,1,,20元/時 ☆剩餘格位:14,23.021392，120.234546,,23.021392,120.234546
路邊停車格收費路段,D00109,後甲一路(路邊停車格),  自平實路至小東路間   ,,-1,0,58,2,0,0,0,0,,20元/時 ☆剩餘格位:11,22.992980，120.235899,,22.99298,120.235899
路邊停車格收費路段,D00110,文華路奇美博物館,  二仁路2段至虎山橋間(文華路2段)1040901收費   ,,-1,0,58,0,0,0,0,0,,20元/時 ☆剩餘格位:44,22.937301，120.222013,,22.937301,120.222013
路邊停車格收費路段,D00111,東橋十二街,  康橋大道至東橋七路間1091002收費   ,,-1,0,33,0,0,0,0,0,,20元/時 ☆剩餘格位:19,23.024432，120.234268,,23.024432,120.234268
